Attribute,Target,Rulex,LIME,SHAP
ritm_ecg_p_01_1.0,DRESSLER,0.0,0.0057742271,0.0330715861
SEX_1,P_IM_STEN,0.0,0.0059216757,0.0329962995
AGE,RAZRIV,0.0034114152,0.0002377244,0.0323542102
NOT_NA_KB_nan,REC_IM,0.0,0.0049544979,0.0322313786
TIME_B_S_2.0,DRESSLER,0.0,0.0056744767,0.0315249562
NOT_NA_2_n,ZSN,0.006880679,0.0047633194,0.0308163841
NA_R_3_n,FIBR_JELUD,0.0005644831,0.0014199271,0.0303878448
NA_BLOOD,JELUD_TAH,0.0,0.0022484274,0.0300686393
GIPO_K_nan,P_IM_STEN,0.0,0.004384204,0.0291721937
inf_im_1.0,REC_IM,0.0,0.0047442536,0.02704336
NOT_NA_2_n,OTEK_LANC,0.0,0.0051666756,0.0267816479
NA_R_2_n,REC_IM,0.0,0.0296607851,0.0245032633
NA_KB_nan,DRESSLER,0.0,0.0045185591,0.0237568077
ant_im_4.0,DRESSLER,0.0,0.0054784916,0.0227620323
NA_R_3_n,ZSN,0.0215091611,0.0053573703,0.0223878889
NOT_NA_2_n,PREDS_TAH,0.0,0.0019439156,0.0214949528
TIME_B_S_3.0,P_IM_STEN,0.0,0.0042218641,0.021140434
GEPAR_S_n_1.0,P_IM_STEN,0.0,0.0,0.0196341271
NA_KB_nan,REC_IM,0.0,0.0042647971,0.0190999368
NA_KB_1.0,REC_IM,0.0,0.008344295,0.0186713213
ASP_S_n_1.0,P_IM_STEN,0.0,0.0,0.0186522195
NOT_NA_2_n,FIBR_JELUD,0.0,0.0038058798,0.0170713479
TIME_B_S_8.0,P_IM_STEN,0.0,0.0109569574,0.015463869
ASP_S_n_1.0,REC_IM,0.0,0.0,0.0144030874
D_AD_ORIT,RAZRIV,0.0,0.0001540435,0.0140764243
NA_R_2_n,P_IM_STEN,0.0,0.0412391721,0.0140630842
NOT_NA_3_n,FIBR_JELUD,0.0034226731,0.003752745,0.010596476
GIPO_K_nan,REC_IM,0.0,0.0046314284,0.0091443319
NA_R_2_n,FIBR_JELUD,0.0305661226,0.0028550519,0.0089210112
