Attribute,Target,Rulex,LIME,SHAP
ALT_BLOOD,DRESSLER,0.0014821129,0.0198523548,0.1324054496
ant_im,REC_IM,0.0,0.0314038831,0.1286310959
ANT_CA_S_n,P_IM_STEN,0.0,0.0229696808,0.1283760275
K_BLOOD,ZSN,0.0013685939,0.0118896313,0.1274850531
K_BLOOD,OTEK_LANC,0.0,0.0141866475,0.1265475212
NA_KB,ZSN,0.0,0.0124311695,0.1243451359
K_BLOOD,P_IM_STEN,0.0030039569,0.0204225659,0.124307648
O_L_POST,ZSN,0.0,0.0101700745,0.121946972
zab_leg_02,RAZRIV,0.0,0.0085361166,0.1205606016
ANT_CA_S_n,REC_IM,0.0,0.0384792998,0.1204730274
SEX,OTEK_LANC,0.0,0.0043909444,0.119684534
GEPAR_S_n,DRESSLER,0.0,0.0,0.1194135827
R_AB_1_n,FIBR_PREDS,0.0,0.0410555705,0.1187691539
inf_im,JELUD_TAH,0.0,0.0089224607,0.1179066337
NA_BLOOD,JELUD_TAH,0.0,0.0040827079,0.1168803059
STENOK_AN,PREDS_TAH,0.0,0.0070406286,0.1166874283
S_AD_ORIT,PREDS_TAH,0.0,0.0068682193,0.1166386232
GB,A_V_BLOK,0.0,0.0051598594,0.1161519378
zab_leg_02,OTEK_LANC,0.0,0.0174044948,0.115736714
LID_S_n,REC_IM,0.0,0.0338064197,0.1156088738
GB,RAZRIV,0.0,0.0187018455,0.1115444811
ritm_ecg_p_01,FIBR_JELUD,0.0,0.0219919537,0.110362555
DLIT_AG,ZSN,0.0055249603,0.0074044173,0.107208063
NA_R_1_n,REC_IM,0.0,0.0092931317,0.1059107126
NOT_NA_1_n,DRESSLER,0.0,0.008029091,0.103767335
SEX,ZSN,0.0,0.0051014198,0.1035317104
STENOK_AN,FIBR_JELUD,0.0,0.008338561,0.1033283683
AST_BLOOD,REC_IM,0.0007514645,0.0292300405,0.1018367175
FK_STENOK,JELUD_TAH,0.0,0.0087692677,0.101482862
TIME_B_S,A_V_BLOK,0.0026348503,0.0075404508,0.1014811234
D_AD_ORIT,P_IM_STEN,0.0002708979,0.0228592957,0.1008570622
GEPAR_S_n,OTEK_LANC,0.0,0.0377000981,0.099552286
GB,OTEK_LANC,0.0002218586,0.0166160173,0.0987064636
FK_STENOK,OTEK_LANC,0.0,0.0210154575,0.097779495
IBS_POST,JELUD_TAH,0.0,0.0024188267,0.0975932409
DLIT_AG,RAZRIV,0.0,0.0104301396,0.0967387037
R_AB_3_n,ZSN,0.0,0.0143626308,0.096353456
NA_R_1_n,ZSN,0.000167042,0.0200593688,0.094854208
ANT_CA_S_n,FIBR_PREDS,0.0,0.0196725915,0.0947907278
NOT_NA_2_n,OTEK_LANC,0.0009607572,0.0299866071,0.093838049
TIME_B_S,JELUD_TAH,0.0,0.0047773212,0.0920978578
ritm_ecg_p_02,ZSN,0.0,0.0107306138,0.0919932116
LID_S_n,OTEK_LANC,0.0,0.0169650822,0.0910395471
NITR_S,RAZRIV,0.0,0.0064912499,0.090611113
DLIT_AG,OTEK_LANC,0.0,0.013227288,0.0904883545
GEPAR_S_n,RAZRIV,0.0,0.0143264218,0.0889727969
TRENT_S_n,OTEK_LANC,0.0,0.0059637446,0.0882596282
GEPAR_S_n,ZSN,0.0,0.0372250319,0.0859589277
